Параметр;Значение
Общее время симуляции (мс);500
Переключения контекста;12
Пропущенные дедлайны;0
Время простоя (мс);137
Процент простоя;27.4

ID;Имя;Период (мс);WCET (мс);Дедлайн (мс);Приоритет;Состояние;Осталось (мс);Пропусков
1;Контроллер;100;25;100;1;ЗАВЕРШЕНА;0;0
2;Датчик температуры;200;35;200;2;ЗАВЕРШЕНА;0;0
3;Сетевая связь;500;55;500;3;ЗАВЕРШЕНА;0;0
4;Логирование;1000;90;1000;4;ЗАВЕРШЕНА;0;0
